,City,Country,Date,Latitude,Longitude,Temperature,Humidity,Cloudiness,Max_Temp,Wind Speed
0,Jamestown,AU,1553634971,-33.21,138.6,42.87,80,0,42.87,5.5
1,Mataura,NZ,1553634605,-46.19,168.86,53.01,91,44,53.01,18.01
2,Agucadoura,PT,1553634918,41.43,-8.78,62.22,58,0,66.0,3.36
3,Vaini,IN,1553634972,15.34,74.49,70.59,93,20,70.59,1.7
4,Aklavik,CA,1553630400,68.22,-135.01,35.19,69,40,37.4,5.82
5,Punta Arenas,CL,1553634747,-53.16,-70.91,53.42,71,75,53.6,14.99
6,Canoinhas,BR,1553634972,-26.18,-50.4,72.12,77,48,72.12,3.6
7,Yinchuan,CN,1553634883,38.48,106.21,50.0,12,48,50.0,3.0
8,Airai,TL,1553634973,-8.93,125.41,69.06,91,76,69.06,1.7
9,Hun,BE,1553634948,50.34,4.87,43.07,75,24,45.0,5.82
10,Longyearbyen,NO,1553633400,78.22,15.63,19.4,67,40,19.4,8.05
11,Pisco,PE,1553630400,-13.71,-76.2,71.6,30,0,71.6,17.22
12,Khatanga,RU,1553634974,71.98,102.47,25.05,92,88,25.05,10.54
13,Ushuaia,AR,1553630400,-54.81,-68.31,53.6,62,75,53.6,6.93
14,Half Moon Bay,US,1553634965,37.46,-122.43,63.7,63,75,69.01,6.93
15,Saint George,GR,1553634808,39.45,22.34,53.83,81,75,55.99,4.7
16,Thompson,CA,1553630400,55.74,-97.86,42.8,48,75,42.8,11.41
17,Yellowknife,CA,1553634917,62.45,-114.38,29.17,68,75,30.2,17.22
18,Qaanaaq,GL,1553634757,77.48,-69.36,-11.59,72,0,-11.59,9.75
19,Orange,AU,1553634610,-33.28,149.1,48.34,84,0,48.99,8.3
20,Lompoc,US,1553634875,34.64,-120.46,66.0,45,1,69.01,5.84
21,Cape Town,ZA,1553634727,-33.93,18.42,67.59,64,0,69.01,5.82
22,Xuzhou,CN,1553634677,34.27,117.18,49.08,80,24,49.08,6.17
23,Bredasdorp,ZA,1553634921,-34.53,20.04,64.2,68,76,64.4,10.29
24,Butaritari,KI,1553634822,3.07,172.79,83.37,100,48,83.37,16.24
25,Arraial do Cabo,BR,1553630400,-22.97,-42.02,82.4,61,20,82.4,13.87
26,Tiksi,RU,1553634977,71.64,128.87,-20.32,29,0,-20.32,2.82
27,Norman Wells,CA,1553630400,65.28,-126.83,35.6,74,20,35.6,8.05
28,Tuktoyaktuk,CA,1553631780,69.44,-133.03,19.4,85,90,19.4,4.7
29,Busselton,AU,1553634620,-33.64,115.35,54.45,46,0,55.0,14.67
30,Kaduqli,SD,1553634978,11.01,29.72,75.99,24,8,75.99,9.42
31,Dikson,RU,1553634756,73.51,80.55,28.56,93,88,28.56,25.52
32,Shyroke,UA,1553634980,47.96,38.23,42.33,88,100,42.33,6.73
33,Iqaluit,CA,1553634722,63.75,-68.52,3.11,59,75,3.2,16.11
34,Haines Junction,CA,1553634980,60.75,-137.51,37.02,55,20,37.02,3.15
35,Zhigansk,RU,1553634760,66.77,123.37,-7.36,61,0,-7.36,7.18
36,Kalemie,CD,1553634981,-5.95,29.2,77.7,100,24,77.7,7.63
37,Fort Smith,US,1553634732,35.39,-94.42,66.0,34,40,68.0,4.94
38,Tuatapere,NZ,1553634605,-46.13,167.69,53.01,91,56,53.01,18.01
39,Faanui,PF,1553634981,-16.48,-151.75,83.46,100,32,83.46,8.08
40,Bajil,ES,1553634982,38.23,-2.07,43.5,66,0,43.5,9.19
41,Clyde River,CA,1553630400,70.47,-68.59,-0.41,64,20,-0.41,6.93
42,Colares,PT,1553634969,38.8,-9.45,65.53,28,0,71.01,12.75
43,Nome,US,1553634731,30.04,-94.42,75.69,36,1,78.8,9.17
44,Lagoa,PT,1553634428,37.14,-8.45,62.15,67,20,63.0,20.8
45,Hithadhoo,MV,1553634754,-0.6,73.08,83.73,100,80,83.73,4.61
46,Poum,MK,1553634961,41.28,20.71,37.11,65,56,37.11,1.59
47,Annapolis,US,1553634799,38.98,-76.49,48.15,26,1,50.0,10.29
48,Codrington,AU,1553634963,-28.95,153.24,69.19,88,90,73.4,3.36
49,Quatre Cocos,MU,1553634846,-20.21,57.76,79.02,83,40,80.6,1.12
50,Portland,US,1553634937,45.52,-122.67,57.78,41,40,61.0,5.82
51,Rikitea,PF,1553634985,-23.12,-134.97,80.49,97,12,80.49,13.44
52,Saint-Philippe,CA,1553634982,45.36,-73.48,31.55,80,1,34.0,6.93
53,Coahuayana,MX,1553634979,18.62,-100.35,89.49,17,0,89.49,2.82
